[camera]
width=480
height=640

[client]
fps = 10

[detection]
tag_pixel_width = 200
widen_radius = 15


[arena]
nleds = 100
ring_r = 350.3 # in cm
origo_offset = [240, 320] # in pixels
cm_per_pixel = 2.2
time,x,y,θ,leds
2023-11-23T15:23:11.816,229.8437912484783,405.18798893254615,-1.7956660130712625,"25,33,235,237,0"
2023-11-23T15:23:11.916,231.79977482615018,405.04683489835963,-1.8013103437709825,"25,33,235,237,0"
2023-11-23T15:23:12.017,230.69424448216273,408.0407665347009,-1.795906211488346,"25,33,235,237,0"
2023-11-23T15:23:12.115,229.40483177557252,408.40236681230624,-1.8026006152654375,"25,33,235,237,0"
2023-11-23T15:23:12.217,231.62641394937503,403.4527201197192,-1.8087187843873676,"25,33,235,237,0"
2023-11-23T15:23:12.332,237.04732566312512,398.1404415585626,-1.807633354855146,"25,33,235,237,0"
2023-11-23T15:23:12.418,241.12707844125975,397.91701040651265,-1.8056571183554226,"25,33,235,237,0"
2023-11-23T15:23:12.515,240.79949422379062,400.80506578564126,-1.8063181768269776,"25,33,235,237,0"
2023-11-23T15:23:12.616,241.9281936224159,400.41256010476116,-1.8068767772380279,"25,33,235,237,0"
2023-11-23T15:23:12.719,243.29126555866034,401.3677881612822,-1.8048916851626193,"25,33,235,237,0"
2023-11-23T15:23:12.831,243.21773262045025,402.97806394139457,-1.818653137641518,"25,33,235,237,0"
2023-11-23T15:23:12.929,244.1101058061569,402.0825483180053,-1.837643266071231,"25,33,235,237,0"
2023-11-23T15:23:13.012,244.37212935100644,402.79229713241955,-1.8485202543148573,"25,33,235,237,0"
2023-11-23T15:23:13.129,241.89886746200784,407.1680070814323,-1.8585432706811773,"25,33,235,237,0"
2023-11-23T15:23:13.213,241.1885708376134,408.59713402108775,-1.8582312141020354,"25,33,235,237,0"
2023-11-23T15:23:13.314,241.54568665671533,407.96277007736586,-1.823060627201919,"25,33,235,237,0"
2023-11-23T15:23:13.414,237.39233573093512,408.7218546589414,-1.654818438364148,"27,35,235,237,0"
2023-11-23T15:23:13.531,232.88270052017444,408.46031928040384,-1.5373277764237137,"29,37,235,237,0"
2023-11-23T15:23:13.635,231.95200130153938,407.6268326368878,-1.5007983857512994,"29,37,235,237,0"
2023-11-23T15:23:13.716,229.00952084311092,409.00384587230246,-1.4460925891902368,"30,38,235,237,0"
2023-11-23T15:23:13.824,221.20481380421612,412.0912386432585,-1.3522156829400167,"31,39,235,237,0"
2023-11-23T15:23:13.913,219.43436592746906,413.5558568864155,-1.3522257192864962,"31,39,235,237,0"
2023-11-23T15:23:14.017,222.75020735569134,413.37348074380884,-1.4684498206046965,"30,38,235,237,0"
2023-11-23T15:23:14.112,225.70297558617952,416.0075624595695,-1.6808052303224585,"27,35,235,237,0"
2023-11-23T15:23:14.213,228.77960264298557,415.08971179327307,-1.782613156393649,"26,34,235,237,0"
2023-11-23T15:23:14.309,229.68376273960942,415.4148174788959,-1.8508220730655185,"25,33,235,237,0"
2023-11-23T15:23:14.410,228.03041885379963,420.19940510086496,-1.9302449825294687,"24,32,235,237,0"
2023-11-23T15:23:14.507,228.93446808049427,420.1395943891854,-2.0407600665523242,"22,30,235,237,0"
2023-11-23T15:23:14.608,233.96902884938817,416.41444046772335,-2.1155380403136532,"21,29,235,237,0"
2023-11-23T15:23:14.726,233.21055977993245,419.0904969698514,-2.1322578798575784,"21,29,235,237,0"
2023-11-23T15:23:14.808,234.57251537326295,416.98279442523165,-2.1242987263044975,"21,29,235,237,0"
2023-11-23T15:23:14.916,235.55790995152904,415.3223160522482,-2.0706291145218314,"22,30,235,237,0"
2023-11-23T15:23:15.023,234.45286432691228,415.83638554547986,-2.03525171457058,"26,34,179,237,0"
2023-11-23T15:23:15.114,234.18270054498862,413.89033815328344,-1.9854688300123335,"26,34,179,237,0"
2023-11-23T15:23:15.207,234.38808441074303,413.50246151858676,-1.9479988412353142,"27,35,179,237,0"
2023-11-23T15:23:15.324,233.83930527412744,414.7677010057837,-1.9450891576702407,"27,35,179,237,0"
2023-11-23T15:23:15.409,233.56495357402667,413.16290114198796,-1.9210956938634693,"27,35,179,237,0"
2023-11-23T15:23:15.508,232.84872556871252,412.93655554044255,-1.8886013222765943,"28,36,179,237,0"
2023-11-23T15:23:15.607,231.83146385130303,412.6269652644103,-1.8339218218456896,"28,36,179,237,0"
2023-11-23T15:23:15.726,229.3655529012631,412.4972325286982,-1.7683465394301254,"29,37,179,237,0"
2023-11-23T15:23:15.804,228.37160426558864,412.47475751766336,-1.744494953897661,"30,38,179,237,0"
2023-11-23T15:23:15.908,226.97316060783257,413.63062152057375,-1.7282861616186482,"30,38,179,237,0"
2023-11-23T15:23:16.009,226.50985809051167,412.2142226671706,-1.689371876751245,"30,38,179,237,0"
2023-11-23T15:23:16.120,228.02072629072038,411.05940618603495,-1.6886891034765916,"30,38,179,237,0"
2023-11-23T15:23:16.203,228.8786523862409,410.70274005933305,-1.6920929020168605,"30,38,179,237,0"
2023-11-23T15:23:16.304,229.7871038216192,409.88213519302747,-1.6949536500879268,"30,38,179,237,0"
2023-11-23T15:23:16.419,229.4412059209896,408.3630279427301,-1.6953197899319037,"25,33,201,237,0"
2023-11-23T15:23:16.504,229.15575231896233,406.96599316785046,-1.6942512971841213,"25,33,221,237,0"
2023-11-23T15:23:16.627,228.99852071169616,403.40182981180544,-1.69181098357535,"25,33,230,237,0"
2023-11-23T15:23:16.707,230.9151205434225,401.37263414235827,-1.6940327759774851,"25,33,232,237,0"
2023-11-23T15:23:16.803,232.2042919891615,403.1803358467976,-1.6879466997804162,"25,33,237,237,0"
2023-11-23T15:23:16.903,234.40909657250504,402.298741671414,-1.6922861237951103,"25,33,237,237,0"
2023-11-23T15:23:17.009,235.80435777148915,400.8896600461133,-1.6872831006700462,"25,33,237,237,0"
2023-11-23T15:23:17.111,236.91235551616668,400.26564213959,-1.6886843879466278,"25,33,237,237,0"
2023-11-23T15:23:17.200,235.68972098629524,400.67607734953737,-1.6889506800219325,"25,33,237,237,0"
2023-11-23T15:23:17.302,236.7020919653062,398.0956702229138,-1.6873066218230084,"25,33,237,237,0"
2023-11-23T15:23:17.400,237.0118701214516,397.6462825013848,-1.6833039990001724,"26,34,237,237,0"
2023-11-23T15:23:17.502,236.8962864646677,398.1873078570494,-1.6876047930601148,"25,33,237,237,0"
