[camera]
width=480
height=640
# width=720
# height=1280

[detection]
tag_pixel_width = 200
widen_radius = 15

[arena]
nleds = 198
ring_r = 3500.3 # in cm
origo_offset = [240, 320] # in pixels
cm_per_pixel = 2.2
baudrate = 115200 #9600##921600#

[setup]
label = "Two different suns"

    [[setup.suns]]
    link_factor = 1.5
    width = 11
    "θ" = 1.5707963267948966
    r = 5

        [setup.suns.color]
        r = 0.39215686274509803
        g = 1
        b = 0
    [[setup.suns]]
    link_factor = -0.8
    width = 3
    "θ" = 3.141592653589793
    r = 1

        [setup.suns.color]
        r = 0.1607843137254902
        g = 0.5019607843137255
        b = 1

[experiment]
datetime = 2023-12-05T11:10:44.380Z

ms,x,y,θ,start1,stop1,red1,green1,blue1,start2,stop2,red2,green2,blue2
2686,238.6693785769676,307.62060208479306,2.1755636429141494,48,58,100,255,0,98,100,41,128,255
2719,238.59564053582218,307.39137579155886,2.1281284603457324,46,56,100,255,0,99,101,41,128,255
2755,238.0640998693022,306.8321474977022,2.0569276144031754,42,52,100,255,0,101,103,41,128,255
2786,237.71595286644512,306.2784179275094,2.0001310210773773,40,50,100,255,0,102,104,41,128,255
2818,237.75210700175217,306.07702997187073,1.9582806262866526,38,48,100,255,0,103,105,41,128,255
2854,238.33747201255954,306.3832818293164,1.9273520188036286,36,46,100,255,0,104,106,41,128,255
2886,239.03199194392965,305.5787502577627,1.865448094020507,33,43,100,255,0,105,107,41,128,255
2918,239.91027078469807,303.9222057961394,1.7550296585220635,28,38,100,255,0,108,110,41,128,255
2954,240.4586848601979,302.86838939091876,1.6715629559607277,24,34,100,255,0,110,112,41,128,255
2986,240.38893607988675,301.89945809291686,1.5499192177823686,18,28,100,255,0,113,115,41,128,255
3018,241.0973382465039,301.08476888789573,1.441170277766479,13,23,100,255,0,116,118,41,128,255
3065,241.87573625095905,300.03652027885823,1.3738194291082504,10,20,100,255,0,118,120,41,128,255
3086,242.1472909011319,299.30171229846144,1.2723326940030724,5,15,100,255,0,120,122,41,128,255
3118,242.33206679832134,298.77080884287034,1.1798590229544108,1,11,100,255,0,123,125,41,128,255
3153,242.25952821868182,298.0176024855019,1.051418667178006,193,203,100,255,0,126,128,41,128,255
3186,242.2528153157984,297.30906897132047,0.9704946745697866,189,199,100,255,0,128,130,41,128,255
3218,242.45232418782317,296.67051750953806,0.9128471756782116,186,196,100,255,0,129,131,41,128,255
3254,242.30533623391426,296.2621685187791,0.8212853777619628,182,192,100,255,0,132,134,41,128,255
3286,241.95877020669573,296.1362097987501,0.7328578149122182,178,188,100,255,0,134,136,41,128,255
3318,241.62829882810536,296.91299092592544,0.6854509034351677,176,186,100,255,0,135,137,41,128,255
3354,242.0592563003798,297.34388002501873,0.6920821322051637,176,186,100,255,0,135,137,41,128,255
3386,242.22203433851615,296.63325770644303,0.6423216917647108,174,184,100,255,0,136,138,41,128,255
3418,242.1481715982194,295.9801797430694,0.5952901111228721,171,181,100,255,0,137,139,41,128,255
3454,242.160125805431,296.21091735692335,0.570076061825316,170,180,100,255,0,138,140,41,128,255
3486,242.4452394978416,297.0181573668039,0.592559269787091,171,181,100,255,0,138,140,41,128,255
3518,242.4775224209291,297.30399485085695,0.5953127684742996,171,181,100,255,0,137,139,41,128,255
3555,242.55833002719885,297.4783972063361,0.6073628764763183,172,182,100,255,0,137,139,41,128,255
3586,242.50694713648863,297.8344268403152,0.621820507305402,173,183,100,255,0,137,139,41,128,255
3619,242.5986693925311,298.9618064170605,0.6609000683989757,174,184,100,255,0,136,138,41,128,255
3654,242.56722769787382,299.75904476625385,0.7415353405440338,178,188,100,255,0,134,136,41,128,255
3686,242.55027578525394,300.33580562110967,0.8156346839565847,182,192,100,255,0,132,134,41,128,255
3718,242.51396496093565,300.61565498720876,0.8812890075293363,185,195,100,255,0,130,132,41,128,255
3754,242.1190853637952,301.1346930985352,0.9268417489007048,187,197,100,255,0,129,131,41,128,255
3786,241.95672474180452,301.6217722194508,0.9886416681972112,190,200,100,255,0,128,130,41,128,255
3818,242.19219220500528,301.66639002688083,1.0467143585996281,193,203,100,255,0,126,128,41,128,255
3855,242.34912763537676,301.5329004887011,1.0857877080608298,-3,7,100,255,0,125,127,41,128,255
3886,242.31100967499256,301.53777326715255,1.1380677327566158,-1,9,100,255,0,124,126,41,128,255
3918,242.48163106050464,301.7605706124767,1.2013725990888195,2,12,100,255,0,122,124,41,128,255
3954,242.8961433471536,302.5321249440163,1.324393573189586,8,18,100,255,0,119,121,41,128,255
3986,242.67026582068283,302.7051954390156,1.3996217107323246,11,21,100,255,0,117,119,41,128,255
4018,242.3541983930225,303.3280203354964,1.494363772971525,16,26,100,255,0,115,117,41,128,255
4054,242.20683586393727,303.6963003271129,1.6295277729991111,22,32,100,255,0,111,113,41,128,255
4086,242.2800665341713,303.81092054113776,1.7941746493126531,30,40,100,255,0,107,109,41,128,255
4118,242.64108952082174,302.7403403301855,1.8540856968024255,33,43,100,255,0,106,108,41,128,255
4154,242.52887189502658,302.6263622673531,1.873093683225918,34,44,100,255,0,105,107,41,128,255
4186,242.22139901097302,303.4325034498882,1.9418042429876399,37,47,100,255,0,104,106,41,128,255
4218,241.51490792856822,303.751303007876,1.9979419690772955,40,50,100,255,0,102,104,41,128,255
4254,241.2653550178067,303.76585614041664,2.067140127169284,43,53,100,255,0,100,102,41,128,255
4286,240.79761945244846,303.74523938946805,2.129473559085183,46,56,100,255,0,99,101,41,128,255
4319,239.82384792913314,304.33912652867616,2.210553674563375,50,60,100,255,0,97,99,41,128,255
