[camera]
# width=480
# height=640
# width=720
# height=1280
# width=1536
# height=1024
# width=640
# height=480
# fps=30

[detection]
tag_pixel_width = 100
widen_radius = 15

[arena]
nleds = 113#198
ring_r = 30 # in cm
origo_offset = [360, 360] # in pixels
cm_per_pixel = 0.1
baudrate = 115200#9600###921600#

[setup]
label = "Two different suns"

    [[setup.suns]]
    link_factor = 1.5
    green = 255
    azimuth = 90
    width = 11
    red = 100
    [[setup.suns]]
    blue = 255
    link_factor = -0.8
    green = 128
    azimuth = 180
    width = 3
    red = 41

[experiment]
datetime = 2023-12-10T11:48:13.535Z

ms,x,y,θ,start1,stop1,start2,stop2
41896,361.33127285593497,628.0470350563729,0.25018085349947006,31,41,53,55
41995,360.5660549134101,629.110401429324,0.24522238562837775,31,41,53,55
42100,352.95181496901006,624.1774016976375,0.24769467150201255,31,41,53,55
42197,344.6197844621893,619.0861377632822,0.293627872211602,32,42,52,54
42297,344.56111795238553,616.0565299537968,0.3093404823078016,33,43,52,54
42397,342.75468398461265,611.9125833722262,0.3210156539874176,33,43,52,54
42498,342.1584719488583,613.9068783877515,0.3243335741390395,33,43,52,54
42597,343.18050547203495,618.2585123897838,0.31924736433453677,33,43,52,54
42698,339.3159609460889,618.7071256346742,0.32519625290987997,33,43,52,54
42798,334.4116224974895,619.04029641043,0.33528086888950664,33,43,52,54
42898,333.5218330757227,621.44174632278,0.3331664488364797,33,43,52,54
42998,334.9955483560102,623.6902001854054,0.3501040143893776,34,44,51,53
43101,336.8593332320315,623.8625752929844,0.35934210477946027,34,44,51,53
43198,338.37330934185866,622.9850306848383,0.3788452501787596,34,44,51,53
43295,338.5137706180731,621.6615295476513,0.3725095220508603,34,44,51,53
43397,339.5928767352362,621.9656776757531,0.38558806930969936,35,45,51,53
43496,340.34443123583577,623.9531006364377,0.3881767223851776,35,45,51,53
43597,340.67177103825276,622.6116370262016,0.3956895590846056,35,45,51,53
43696,340.2389872070495,621.2587902372729,0.40364966467847924,35,45,51,53
43797,338.6870926438805,620.5540586753152,0.4160930873000568,35,45,51,53
43897,339.1116734185876,619.4432197908544,0.41639532322205464,35,45,51,53
43997,342.9539082722629,622.7212907768203,0.6915765721607403,43,53,47,49
44100,347.0156764332378,627.6803516781752,1.0921680319061235,54,64,41,43
44196,345.93075204998786,629.478810122857,1.2500780567700671,58,68,39,41
44297,342.6776172208424,630.6449714302408,1.3976224555034125,62,72,36,38
44398,343.2194925195355,632.2109413536815,1.6433917219547987,69,79,33,35
44496,345.3129506397456,629.1375089347193,2.0289191768958146,79,89,27,29
